NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_207396,ENST00000377939,44,16,634,0.00057,0.52352,0.54909
NM_003636,ENST00000428161,19,5,367,0.00072,0.52359,0.60817
NM_001105562,ENST00000343090,80,41,1302,0.00039,0.49915,0.48955
NM_183416,ENST00000377093,69,34,1153,0.00043,0.61704,0.5864
NM_006172,ENST00000376480,6,3,151,0.00331,0.47903,0.4128
NM_014874,ENST00000235329,51,25,757,0.00065,0.57513,0.58684
NM_018156,ENST00000613099,250,137,4363,0.00013,0.48334,0.48892
NM_207348,ENST00000294454,26,6,304,0.00076,0.47723,0.53948
NM_001089591,ENST00000696689,4,0,91,0.0,0.37912,
NM_182623,ENST00000375662,18,5,280,0.00099,0.50496,0.59786
NM_003000,ENST00000375499,14,4,280,0.00102,0.42041,0.39732
NM_000929,ENST00000375108,5,2,138,0.0029,0.59275,0.76812
NM_152372,ENST00000374434,67,29,1437,0.0003,0.47925,0.57896
NM_001251977,ENST00000374395,16,5,241,0.0013,0.48885,0.48216
NM_032588,ENST00000374272,28,12,353,0.00121,0.54745,0.57649
NM_022778,ENST00000252992,81,28,762,0.00045,0.62229,0.62237
NM_001099626,ENST00000374300,8,3,292,0.00128,0.497,0.69178
NM_004102,ENST00000373713,3,0,133,0.0,0.56642,
NM_153756,ENST00000373471,11,4,212,0.00172,0.53345,0.57194
NM_001171941,ENST00000496770,8,4,153,0.00327,0.39052,0.30229
NM_032526,ENST00000235628,20,8,368,0.00109,0.49035,0.69905
NM_173642,ENST00000431473,22,8,391,0.00093,0.3562,0.42519
NM_012236,ENST00000372597,27,8,591,0.0005,0.53456,0.5846
NM_006004,ENST00000311672,4,1,91,0.00275,0.37912,0.64835
NM_001243728,ENST00000532925,18,10,240,0.00231,0.52199,0.54542
NM_147161,ENST00000343744,34,11,594,0.00054,0.49634,0.40419
NM_145716,ENST00000610401,19,12,388,0.00163,0.41793,0.37414
NM_006252,ENST00000371244,23,16,552,0.00126,0.45038,0.46196
NM_001004303,ENST00000343433,35,22,728,0.00086,0.38442,0.37538
NM_000775,ENST00000371204,25,11,502,0.00088,0.51434,0.54401
NM_176877,ENST00000371158,106,65,1801,0.00034,0.50918,0.49558
NM_001172818,ENST00000371083,22,10,580,0.00078,0.56724,0.55207
NM_001127328,ENST00000420607,25,20,425,0.00188,0.46984,0.44306
NM_000016,ENST00000370841,24,19,421,0.00188,0.48367,0.45968
NM_001199327,ENST00000370899,42,25,843,0.00071,0.46823,0.48892
NM_015978,ENST00000326637,40,25,835,0.00075,0.50219,0.49547
NM_144573,ENST00000334785,44,31,675,0.00104,0.46754,0.46968
NM_001242857,ENST00000446538,14,8,358,0.0016,0.47745,0.46438
NM_001195683,ENST00000465892,36,14,850,0.00046,0.51307,0.55386
NM_001256387,ENST00000370137,19,12,335,0.00189,0.50338,0.45721
NM_001256386,ENST00000370137,19,12,335,0.00189,0.50338,0.45721
NM_144620,ENST00000370137,19,12,335,0.00189,0.50338,0.45721
NM_000643,ENST00000370163,70,49,1532,0.00046,0.45267,0.41545
NM_000028,ENST00000294724,70,49,1532,0.00046,0.45267,0.41545
NM_001010985,ENST00000357155,21,6,354,0.00081,0.43274,0.4548
NM_001688,ENST00000369722,21,9,256,0.00167,0.64174,0.72873
NM_172198,ENST00000369697,16,7,636,0.00069,0.60859,0.65117
NM_003051,ENST00000630362,18,12,500,0.00133,0.57522,0.56017
NM_003051,ENST00000369626,18,12,500,0.00133,0.57522,0.56017
NM_001232,ENST00000261448,11,6,399,0.00137,0.3568,0.36299
NM_213652,ENST00000475797,16,8,200,0.0025,0.38875,0.35562
NM_145277,ENST00000357836,20,11,313,0.00176,0.51502,0.47546
NM_213653,ENST00000336751,24,13,426,0.00127,0.55419,0.54081
NM_001130523,ENST00000369530,42,29,813,0.00085,0.51447,0.49892
NM_001242891,ENST00000610726,43,29,844,0.0008,0.51598,0.50592
