Tissue,Mean,SEM,N
All,,,0
v12_lymphnode,0.5227619565217392,0.002705930637470973,2484
v17_adipose,0.5158586077963405,0.00376697389593546,1257
v1_cerebrum,0.5052836797066015,0.0019523391498511595,4090
v22_prostate,0.5123101707684581,0.0029969481290753087,1991
v23_ovary,0.5073266586768935,0.0028276676609029975,2086
v24_testis,0.5047342400144588,0.00161783309089048,5533
v25_heart,0.5095290050167225,0.0037364258204986606,1196
v26_muscle,0.5049877576112413,0.0028059528844730382,1708
v30_colon,0.5118314359415305,0.003792278363726859,1163
v31_liver_hepato,0.5082771794871794,0.003160493438018447,1755
v32_lung,0.5201021907493726,0.002559764639717512,2789
v34_kidney,0.5106318453255017,0.002900784610017886,2043
v36_thyroid_parathyroid,0.5094383360790774,0.0023627759251241055,2428
v37_adrenal_gland,0.5095717201039861,0.002646369892759865,2308
v39_breast,0.5138488490182803,0.003353480835515512,1477
