Tissue,Mean,SEM,N
All,,,0
v12_lymphnode,0.001413917485265226,3.360806619434806e-05,2545
v17_adipose,0.0013446771653543308,4.507019206404751e-05,1270
v1_cerebrum,0.001296780111030654,3.6555232297998604e-05,4143
v22_prostate,0.0014710049261083744,8.859647297671903e-05,2030
v23_ovary,0.0012242130065975496,3.343195295178503e-05,2122
v24_testis,0.0014069482142857143,2.6075277662033367e-05,5600
v25_heart,0.0013370049504950496,5.206488765961045e-05,1212
v26_muscle,0.001139971363115693,3.5831028658035874e-05,1746
v30_colon,0.0022944707874682476,0.00031685662862446294,1181
v31_liver_hepato,0.0014559899888765295,4.212169934460911e-05,1798
v32_lung,0.0017821353436185134,0.00014499828820213202,2852
v34_kidney,0.0013989325035902345,4.27593102864079e-05,2089
v36_thyroid_parathyroid,0.0014017175417175417,5.968269461814633e-05,2457
v37_adrenal_gland,0.0014634860050890585,3.615774229226123e-05,2358
v39_breast,0.0014817321785476347,4.4097389324176374e-05,1501
