"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.31156823556312e-08,11,42,17.7823230182281,"GO:0095500 acetylcholine receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0095500"," LYPD1  LY6G6D  RGS10  SLURP2  GNAI2"
3.31156823556312e-08,12,52,15.6683405615156,"GO:0098926 postsynaptic signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0098926"," LYPD1  LY6G6D  RGS10  SLURP2  GNAI2  NRG1"
3.85296693427594e-08,11,44,16.9740356083086,"GO:1905145 cellular response to acetylcholine "," http://amigo.geneontology.org/amigo/term/GO:1905145"," LYPD1  LY6G6D  RGS10  SLURP2  GNAI2"
6.30915539893009e-08,11,47,15.8905865269272,"GO:1905144 response to acetylcholine "," http://amigo.geneontology.org/amigo/term/GO:1905144"," LYPD1  LY6G6D  RGS10  SLURP2  GNAI2"
5.20503514162406e-07,5,5,67.8961424332344,"GO:0038098 sequestering of BMP from receptor via BMP binding "," http://amigo.geneontology.org/amigo/term/GO:0038098"," NBL1  GREM1  GREM2"
1.79804070483671e-06,17,187,6.17237658483949,"GO:0010469 regulation of signaling receptor activity "," http://amigo.geneontology.org/amigo/term/GO:0010469"," EREG  BTC  SLURP2  LYPD1  DKK2  TAFA4  GREM1  GREM2  LY6G6D"
4.62618529394586e-06,6,12,33.9480712166172,"GO:0035581 sequestering of extracellular ligand from receptor "," http://amigo.geneontology.org/amigo/term/GO:0035581"," NBL1  GREM1  DAND5  GREM2"
1.14061106401834e-05,6,14,29.0983467571005,"GO:1900115 extracellular regulation of signal transduction "," http://amigo.geneontology.org/amigo/term/GO:1900115"," NBL1  GREM1  DAND5  GREM2"
1.14061106401834e-05,6,14,29.0983467571005,"GO:1900116 extracellular negative regulation of signal transduction "," http://amigo.geneontology.org/amigo/term/GO:1900116"," NBL1  GREM1  DAND5  GREM2"
1.65173417210338e-05,10,66,10.2872943080658,"GO:2000272 negative regulation of signaling receptor activity "," http://amigo.geneontology.org/amigo/term/GO:2000272"," LYPD1  DKK2  LY6G6D  SLURP2"
1.71134171739299e-05,56,1777,2.13966458990497,"GO:0007267 cell-cell signaling "," http://amigo.geneontology.org/amigo/term/GO:0007267"," NNAT  SCT  SCGN  GNAI2  RAP1A  RAP1B  LYPD1  DKK2  SLC30A8  RIC3  STX19  FFAR4  LY6G6D  GAL  EDN3  EREG  RGS10  GREM1  GDNF  FAM3D  SLURP2  TAC1  SRI  BIRC5  CCN4  MAPK14  ACVR1C  BARX1  UBAC2  P2RX4  ADCYAP1  CBLN2  NRG1  NDUFAF2  PLA2G10  HMGA2  RIMS4  GRP  VIP  ATXN3  EFNA2  IL7  TNFSF10  FGF13  FGF5  SST"
9.31478107330707e-05,5,11,30.8618829241975,"GO:0048263 determination of dorsal identity "," http://amigo.geneontology.org/amigo/term/GO:0048263"," NBL1  GREM2  GREM1"
9.45849724784782e-05,6,20,20.3688427299703,"GO:0007171 activation of transmembrane receptor protein tyrosine kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0007171"," NRG1  EREG  GREM1  BTC"
0.000135218043472184,5,12,28.290059347181,"GO:0048262 determination of dorsal/ventral asymmetry "," http://amigo.geneontology.org/amigo/term/GO:0048262"," NBL1  GREM2  GREM1"
0.000163737494752593,4,6,45.2640949554896,"GO:1900086 positive regulation of peptidyl-tyrosine autophosphorylation "," http://amigo.geneontology.org/amigo/term/GO:1900086"," NRG1  GREM1"
0.000163737494752593,4,6,45.2640949554896,"GO:1900158 negative regulation of bone mineralization involved in bone maturation "," http://amigo.geneontology.org/amigo/term/GO:1900158"," RFLNA  GREM1"
0.000337158089111832,23,498,3.13576561438633,"GO:0023061 signal release "," http://amigo.geneontology.org/amigo/term/GO:0023061"," NNAT  SCT  RAP1A  RAP1B  SLC30A8  STX19  FFAR4  GAL  EDN3  FAM3D  SRI  BIRC5  ACVR1C  ADCYAP1  NDUFAF2  PLA2G10  RIMS4  GRP  VIP  P2RX4  GDNF"
0.000337158089111832,4,7,38.797795676134,"GO:1900084 regulation of peptidyl-tyrosine autophosphorylation "," http://amigo.geneontology.org/amigo/term/GO:1900084"," NRG1  GREM1"
0.000583177558151267,4,8,33.9480712166172,"GO:0090027 negative regulation of monocyte chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0090027"," NBL1  GREM1"
0.000583177558151267,3,3,67.8961424332344,"GO:0090273 regulation of somatostatin secretion "," http://amigo.geneontology.org/amigo/term/GO:0090273"," SCT  FFAR4"
0.000583177558151267,4,8,33.9480712166172,"GO:1900157 regulation of bone mineralization involved in bone maturation "," http://amigo.geneontology.org/amigo/term/GO:1900157"," RFLNA  GREM1"
0.000627140822217083,5,17,19.9694536568337,"GO:0015671 oxygen transport "," http://amigo.geneontology.org/amigo/term/GO:0015671"," MB  HBG2  HBG1  HBD  HBM"
0.000627140822217083,15,244,4.17394318237097,"GO:0030072 peptide hormone secretion "," http://amigo.geneontology.org/amigo/term/GO:0030072"," NNAT  SCT  SLC30A8  EDN3  FAM3D  SRI  BIRC5  ACVR1C  ADCYAP1  NDUFAF2  FFAR4  GRP  VIP  GAL"
0.000732373731864332,15,249,4.09012906224304,"GO:0002790 peptide secretion "," http://amigo.geneontology.org/amigo/term/GO:0002790"," NNAT  SCT  SLC30A8  EDN3  FAM3D  SRI  BIRC5  ACVR1C  ADCYAP1  NDUFAF2  FFAR4  GRP  VIP  GAL"
0.000732373731864332,5,18,18.8600395647873,"GO:0006978 DNA damage response signal transduction by p53 class mediator resulting in transcription of p21 class mediator "," http://amigo.geneontology.org/amigo/term/GO:0006978"," ING4  RBM38  TP53  RPS27L  MUC1"
0.000732373731864332,21,456,3.12679603310948,"GO:0051051 negative regulation of transport "," http://amigo.geneontology.org/amigo/term/GO:0051051"," SCT  RAP1A  RAP1B  VIP  PID1  ARHGAP8  SRI  GSTO1  NRG1  FAM3D  PLA2G10  GNAI2  ACVR1C  GRP  NDUFAF2  FFAR4  RAB23  UBAC2  ANXA13"
0.000945595560386573,5,19,17.8674059034827,"GO:0042772 DNA damage response signal transduction resulting in transcription "," http://amigo.geneontology.org/amigo/term/GO:0042772"," ING4  RBM38  TP53  RPS27L  MUC1"
0.00116220201405196,16,294,3.69502815963181,"GO:0015833 peptide transport "," http://amigo.geneontology.org/amigo/term/GO:0015833"," NNAT  SCT  SLC30A8  EDN3  FAM3D  SRI  BIRC5  ACVR1C  ADCYAP1  NDUFAF2  FFAR4  GRP  VIP  GAL  CD209"
