Tissue,Mean,SEM,N
All,0.0024688845817181443,2.4563419169995102e-05,23991
v12_lymphnode,0.0025552023575638504,4.667758086288872e-05,2545
v17_adipose,0.002488181102362205,0.00010145757264807298,1270
v1_cerebrum,0.002229432778180063,5.13389842908111e-05,4143
v22_prostate,0.002599817733990148,9.727933796023314e-05,2030
v23_ovary,0.0022372808671065033,7.369054292552262e-05,2122
v24_testis,0.002333251785714286,3.764343937809584e-05,5600
v25_heart,0.0022423844884488448,6.747887104722672e-05,1212
v26_muscle,0.0020145189003436424,5.013836330697208e-05,1746
v30_colon,0.0033809144792548685,0.00031903085769962187,1181
v31_liver_hepato,0.002507647385984427,5.453633688282963e-05,1798
v32_lung,0.0030006942496493693,0.00014897791959981533,2852
v34_kidney,0.0024036045955002396,5.492273204092126e-05,2089
v36_thyroid_parathyroid,0.0023517419617419618,6.945656169840909e-05,2457
v37_adrenal_gland,0.0026250466497031383,5.282066962376553e-05,2358
v39_breast,0.002643904063957362,8.825430902314435e-05,1501
