Tissue,Mean,SEM,N
All,0.505371450127131,0.000556945026020902,23991
v12_lymphnode,0.5114440353634577,0.001754841186007587,2545
v17_adipose,0.5079087874015749,0.0023079844652556494,1270
v1_cerebrum,0.5035052111996138,0.001297374395630101,4143
v22_prostate,0.5057412610837438,0.001987044543268885,2030
v23_ovary,0.5034281055607916,0.0017566082970176097,2122
v24_testis,0.5014338017857143,0.0010915415963103033,5600
v25_heart,0.5033783085808581,0.002473868418845342,1212
v26_muscle,0.5073403436426117,0.0021000406092642177,1746
v30_colon,0.5048455207451312,0.0025878017166530414,1181
v31_liver_hepato,0.5026061401557286,0.002050448778769724,1798
v32_lung,0.5064933380084151,0.0016722881222625454,2852
v34_kidney,0.5039899760651029,0.0019504260365589918,2089
v36_thyroid_parathyroid,0.5042548514448514,0.0016189282226778518,2457
v37_adrenal_gland,0.5088379728583545,0.0018151727890954863,2358
v39_breast,0.5078640039973351,0.002260218691723274,1501
