"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.36666002703278e-05,8,42,16.5714285714286,"GO:0095500 acetylcholine receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0095500"," LY6G6D  RGS10"
5.36666002703278e-05,8,44,15.8181818181818,"GO:1905145 cellular response to acetylcholine "," http://amigo.geneontology.org/amigo/term/GO:1905145"," LY6G6D  RGS10"
6.16167491825867e-05,8,47,14.8085106382979,"GO:1905144 response to acetylcholine "," http://amigo.geneontology.org/amigo/term/GO:1905144"," LY6G6D  RGS10"
0.000105240036177754,8,52,13.3846153846154,"GO:0098926 postsynaptic signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0098926"," LY6G6D  RGS10"
0.000559309995424068,8,66,10.5454545454545,"GO:2000272 negative regulation of signaling receptor activity "," http://amigo.geneontology.org/amigo/term/GO:2000272"," DKK2  LY6G6D"
0.00604787952193246,11,187,5.11764705882353,"GO:0010469 regulation of signaling receptor activity "," http://amigo.geneontology.org/amigo/term/GO:0010469"," EREG  BTC  DKK2  TAFA4  LY6G6D"
0.0324516273881394,39,1777,1.90939786156443,"GO:0007267 cell-cell signaling "," http://amigo.geneontology.org/amigo/term/GO:0007267"," NNAT  SCT  GLRA2  RAP1A  CHRNB4  SFRP5  RAP1B  DKK2  STX19  SLC17A8  LY6G6D  EDN3  EREG  RGS10  GDNF  FAM3D  TAC1  SRI  CCN4  RNF146  UBAC2  P2RX4  ADCYAP1  CBLN2  NDUFAF2  HMGA2  VIP  ATXN3  IL7  TNFSF10  FGF13  FGF5"
0.065986422094877,6,71,7.35211267605634,"GO:0043489 RNA stabilization "," http://amigo.geneontology.org/amigo/term/GO:0043489"," SYNCRIP  GDNF  NSUN2  TRAF3IP2  HNRNPC  VIP"
0.103378033660703,2,3,58,"GO:0001698 gastrin-induced gastric acid secretion "," http://amigo.geneontology.org/amigo/term/GO:0001698"," SCT"
0.103378033660703,2,3,58,"GO:0090273 regulation of somatostatin secretion "," http://amigo.geneontology.org/amigo/term/GO:0090273"," SCT"
0.103378033660703,6,83,6.28915662650602,"GO:1902369 negative regulation of RNA catabolic process "," http://amigo.geneontology.org/amigo/term/GO:1902369"," SYNCRIP  GDNF  NSUN2  TRAF3IP2  HNRNPC  VIP"
0.103378033660703,2,3,58,"GO:1904106 protein localization to microvillus "," http://amigo.geneontology.org/amigo/term/GO:1904106"," ANKS4B"
0.112378379521437,3,14,18.6428571428571,"GO:0051589 negative regulation of neurotransmitter transport "," http://amigo.geneontology.org/amigo/term/GO:0051589"," GPM6B  RAP1A  RAP1B"
0.112378379521437,21,810,2.25555555555556,"GO:0099536 synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0099536"," GLRA2  RAP1A  CHRNB4  RAP1B  STX19  SLC17A8  LY6G6D  RGS10  GDNF  TAC1  P2RX4  CBLN2  SCT  ATXN3"
0.129436734861729,2,4,43.5,"GO:0006772 thiamine metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006772"," TPK1  THTPA"
0.129436734861729,15,498,2.62048192771084,"GO:0023061 signal release "," http://amigo.geneontology.org/amigo/term/GO:0023061"," NNAT  SCT  RAP1A  RAP1B  STX19  EDN3  FAM3D  SRI  ADCYAP1  NDUFAF2  VIP  CHRNB4  P2RX4  GDNF"
0.129436734861729,5,61,7.13114754098361,"GO:0048255 mRNA stabilization "," http://amigo.geneontology.org/amigo/term/GO:0048255"," SYNCRIP  GDNF  TRAF3IP2  HNRNPC  VIP"
0.129436734861729,2,4,43.5,"GO:0070253 somatostatin secretion "," http://amigo.geneontology.org/amigo/term/GO:0070253"," SCT"
0.129436734861729,2,4,43.5,"GO:0090187 positive regulation of pancreatic juice secretion "," http://amigo.geneontology.org/amigo/term/GO:0090187"," SCT"
0.162334860483148,3,18,14.5,"GO:0006978 DNA damage response signal transduction by p53 class mediator resulting in transcription of p21 class mediator "," http://amigo.geneontology.org/amigo/term/GO:0006978"," ING4  RPS27L  MUC1"
0.162334860483148,3,18,14.5,"GO:0038128 ERBB2 signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0038128"," EREG  BTC  PTK6"
0.169488130827242,3,19,13.7368421052632,"GO:0042772 DNA damage response signal transduction resulting in transcription "," http://amigo.geneontology.org/amigo/term/GO:0042772"," ING4  RPS27L  MUC1"
0.169488130827242,5,70,6.21428571428571,"GO:1902373 negative regulation of mRNA catabolic process "," http://amigo.geneontology.org/amigo/term/GO:1902373"," SYNCRIP  GDNF  TRAF3IP2  HNRNPC  VIP"
0.169488130827242,2,5,34.8,"GO:2000301 negative regulation of synaptic vesicle exocytosis "," http://amigo.geneontology.org/amigo/term/GO:2000301"," RAP1A  RAP1B"
0.187054466489963,16,593,2.34738617200675,"GO:1903530 regulation of secretion by cell "," http://amigo.geneontology.org/amigo/term/GO:1903530"," NNAT  SCT  RAP1A  RAP1B  VIP  CEACAM1  EDN3  FAM3D  SRI  RAP1GDS1  NDUFAF2  ADCYAP1  CHRNB4  P2RX4  GDNF"
