Tissue,Mean,SEM,N
All,,,0
v12_lymphnode,7.878978388998036,0.2036926674707574,2545
v17_adipose,9.308661417322835,0.4322758055751655,1270
v1_cerebrum,10.076755973931933,0.22290704722413665,4143
v22_prostate,8.285221674876848,0.2463601240091046,2030
v23_ovary,10.986333647502356,0.36219474217975167,2122
v24_testis,11.934821428571428,0.20867666950696578,5600
v25_heart,13.499174917491748,0.8614376627995589,1212
v26_muscle,12.11111111111111,0.6045279586572941,1746
v30_colon,9.414902624894157,0.6742856655927767,1181
v31_liver_hepato,7.120133481646274,0.23593437991143892,1798
v32_lung,8.050140252454417,0.22562753133749602,2852
v34_kidney,8.420296792723791,0.2001785719430256,2089
v36_thyroid_parathyroid,11.47049247049247,0.5033962834291356,2457
v37_adrenal_gland,8.008481764206955,0.21543149585745472,2358
v39_breast,8.551632245169888,0.35432873952338606,1501
