Tissue,Mean,SEM,N
All,,,0
v12_lymphnode,0.5213154434636402,0.003461700610520389,2379
v17_adipose,0.5166128267973856,0.004496630939934184,1224
v1_cerebrum,0.5126341615698267,0.0026059317495264107,3924
v22_prostate,0.518238656167979,0.003828647993804659,1905
v23_ovary,0.5114273313492063,0.0036499010043460787,2016
v24_testis,0.510053404571641,0.002024416076536763,5381
v25_heart,0.5113119896193771,0.004408959343424084,1156
v26_muscle,0.5123640952955368,0.0037958953412748093,1658
v30_colon,0.5067347755834829,0.004980717664873906,1114
v31_liver_hepato,0.5177928468899522,0.004069471036522564,1672
v32_lung,0.520921801665405,0.0031696936108367504,2642
v34_kidney,0.5105273548712771,0.003676052426250003,1981
v36_thyroid_parathyroid,0.5194343371943372,0.003145087285867445,2331
v37_adrenal_gland,0.5106282755515533,0.0034653980401402784,2221
v39_breast,0.5276137331440738,0.004488328425080343,1409
