Tissue,Mean,SEM,N
All,0.0009997086407402777,1.9691425551636652e-05,23991
v12_lymphnode,0.0009668762278978389,2.5813040159670326e-05,2545
v17_adipose,0.000936992125984252,3.123830170691383e-05,1270
v1_cerebrum,0.0008675211199613806,3.346080478221062e-05,4143
v22_prostate,0.0010303004926108374,8.660039924799631e-05,2030
v23_ovary,0.0008292695570216777,2.6122320798601545e-05,2122
v24_testis,0.0009911375,2.2523177898881537e-05,5600
v25_heart,0.0008945792079207921,4.1341746578520904e-05,1212
v26_muscle,0.0007835681557846506,3.166024206117334e-05,1746
v30_colon,0.0018059949195596953,0.00031631365348989515,1181
v31_liver_hepato,0.0009492436040044493,3.212820369396058e-05,1798
v32_lung,0.0013411079943899018,0.00014424250093720152,2852
v34_kidney,0.0009700813786500718,3.407486414392786e-05,2089
v36_thyroid_parathyroid,0.000901908831908832,2.6388698393522124e-05,2457
v37_adrenal_gland,0.0009992027141645463,3.1002883735069125e-05,2358
v39_breast,0.0009905929380413059,3.7671507998679566e-05,1501
