Tissue,Mean,SEM,N
All,570.620607727898,4.165062831062554,23991
v12_lymphnode,489.750884086444,8.331726804472009,2545
v17_adipose,560.1023622047244,14.11238139747861,1270
v1_cerebrum,630.339850349988,8.603576202910308,4143
v22_prostate,517.0926108374384,9.758774700407988,2030
v23_ovary,635.3859566446748,15.050800581391933,2122
v24_testis,598.4021428571428,7.0341677725287575,5600
v25_heart,753.8052805280528,49.81278584443063,1212
v26_muscle,729.012027491409,35.600222631222366,1746
v30_colon,528.8433530906012,15.593858988011172,1181
v31_liver_hepato,470.3948832035595,8.895547083948326,1798
v32_lung,500.80294530154276,11.35974459189938,2852
v34_kidney,535.8171373863092,9.073256506117191,2089
v36_thyroid_parathyroid,668.3829873829874,26.50010637935487,2457
v37_adrenal_gland,496.8443596268024,8.770936789449788,2358
v39_breast,516.1685542971352,13.48699600461159,1501
