Tissue,Mean,SEM,N
All,4.766704180734442,0.060941662124940815,23991
v12_lymphnode,3.6538310412573676,0.09746038845405013,2545
v17_adipose,4.4259842519685035,0.25700481979617246,1270
v1_cerebrum,4.729905865314989,0.11104320740300504,4143
v22_prostate,3.7980295566502464,0.12480352803051192,2030
v23_ovary,4.959943449575872,0.16716479016168898,2122
v24_testis,5.609642857142857,0.10347881378368227,5600
v25_heart,6.362211221122112,0.43311043292822676,1212
v26_muscle,5.876861397479955,0.3076362620259875,1746
v30_colon,4.585097375105843,0.5981949110371338,1181
v31_liver_hepato,3.267519466073415,0.11554808371344194,1798
v32_lung,3.705820476858345,0.10635541364218058,2852
v34_kidney,3.8118717089516516,0.09358190950114906,2089
v36_thyroid_parathyroid,5.378103378103378,0.25483858696483763,2457
v37_adrenal_gland,3.698897370653096,0.10377223572963744,2358
v39_breast,3.9013990672884744,0.16602818906921973,1501
