Tissue,Mean,SEM,N
All,,,0
v12_lymphnode,26.005108055009824,0.5240250703982253,2545
v17_adipose,29.947244094488187,1.0132207061383272,1270
v1_cerebrum,32.297610427226644,0.5235890217938914,4143
v22_prostate,27.53103448275862,0.6001837489730915,2030
v23_ovary,34.40857681432611,0.847615649697864,2122
v24_testis,33.32089285714286,0.44670476486177263,5600
v25_heart,39.132013201320134,1.9101747404960334,1212
v26_muscle,39.30584192439863,1.4425164530606323,1746
v30_colon,28.943268416596105,1.1437964022533775,1181
v31_liver_hepato,23.8642936596218,0.5547049933712984,1798
v32_lung,26.011570827489482,0.5567632378567848,2852
v34_kidney,27.188128291048347,0.5112841719822481,2089
v36_thyroid_parathyroid,34.91697191697192,1.1690784113429868,2457
v37_adrenal_gland,26.55513146734521,0.5638450109785704,2358
v39_breast,27.347768154563624,0.8461516822307413,1501
