Tissue,Mean,SEM,N
All,0.5176380165044225,0.0013560779654887424,20237
v12_lymphnode,0.535574385128694,0.004611374111438218,2098
v17_adipose,0.5168486292548299,0.005719687678860363,1087
v1_cerebrum,0.5135317275842376,0.0032688807240076677,3502
v22_prostate,0.519135423006695,0.004823121151964254,1643
v23_ovary,0.5055625656455142,0.004493033908792618,1828
v24_testis,0.5124069750307,0.002638894431010594,4886
v25_heart,0.5069105747126437,0.00581193144793603,1044
v26_muscle,0.5198981762711865,0.0047145727795243056,1475
v30_colon,0.507641654822335,0.006312603352615518,985
v31_liver_hepato,0.5180406530612245,0.0051758389495223005,1470
v32_lung,0.5264351234567901,0.004230926260708393,2268
v34_kidney,0.5133497090701654,0.004733922130976975,1753
v36_thyroid_parathyroid,0.5174408483412322,0.004098198460055006,2110
v37_adrenal_gland,0.5254539797468355,0.0046015848705832,1975
v39_breast,0.5380417604501607,0.0059573620346412975,1244
